id,created_at,text,retweets,likes,replies,quotes,language
1948441993887318089,2025-07-24 17:55:46+00:00,@TheLOTRMemes ðŸ˜‚,31,311,131,7,qme
1948438758929375235,2025-07-24 17:42:55+00:00,@Kasparov63 ðŸ˜‚,34,379,110,13,qme
1948437998049054833,2025-07-24 17:39:53+00:00,"RT @JessePeltan: People are starting to realize that Chinaâ€™s massive buildout of solar photovoltaics has nothing to do with climate change,â€¦",508,0,0,0,en
1948437446871392336,2025-07-24 17:37:42+00:00,"RT @EvaFoxU: Starship is the first ever rocket design capable of making life multiplanetary!

Becoming multiplanetary would be the top 10 bâ€¦",324,0,0,0,en
1948434952409710686,2025-07-24 17:27:47+00:00,@DaveShapi True,36,393,125,7,en
1948432437744468011,2025-07-24 17:17:47+00:00,SpaceX direct to cell phone growing fast https://t.co/zzOAerzvME,2727,25936,2504,135,en
1948430703395500264,2025-07-24 17:10:54+00:00,"Due to laws against data export, Tesla achieved the top results in China despite having no local training data. 

Tesla is adding training data from our world simulator and test tracks to achieve 6/6. https://t.co/grn336e45v",2628,20501,1696,150,en
1948428481198444602,2025-07-24 17:02:04+00:00,"@BasedBeffJezos @nikitabier Hmm, @TheGregYang and team are working on it. Will be some ups and downs.",45,587,151,10,en
1948428106244788523,2025-07-24 17:00:35+00:00,@AIatMeta @FastCompany Very innovative,49,708,147,12,en
1948427310916665658,2025-07-24 16:57:25+00:00,RT @chamath: China is not known for emotional decisions so take this at face value. https://t.co/uwL0INlPYE,530,0,0,0,en
